,Reference_Product,Product_Desciption,Product_Price,Disponibility
32,[OPPO-A1K-BK],"Double SIM - Ecran 6.1"" HD+ - Processeur MTK MT6762R - Android 9.0 Pie - RAM 2 Go - Mémoire 32 Go extensible - Appareil Photo 8 MP (Arrière) / 5 MP (Avant) - 4G - Wifi - Bluetooth - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (60 Go)
* Ce Produit est disponible exclusivement dans notre magasin.","369,000 TND",En stock
33,[Y52019-BL],"Double SIM - Ecran 5.7"" HD+ - Processeur Mediatek MT6761 Helio A22, Quad-core 2.0 GHz Cortex-A53 - Android 9.0 Pie - RAM 2 Go - Mémoire 32 Go - Caméra frontale 5 MP - Caméra arrière 13 MP - Wifi - 4G - GPS - Bluetooth - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","375,000 TND",En stock
34,[Y52019-BR],"Double SIM - Ecran 5.7"" HD+ - Processeur Mediatek MT6761 Helio A22, Quad-core 2.0 GHz Cortex-A53 - Android 9.0 Pie - RAM 2 Go - Mémoire 32 Go - Caméra frontale 5 MP - Caméra arrière 13 MP - Wifi - 4G - GPS - Bluetooth - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","375,000 TND",En stock
35,[Y52019-BK],"Double SIM - Ecran 5.7"" HD+ - Processeur Mediatek MT6761 Helio A22, Quad-core 2.0 GHz Cortex-A53 - Android 9.0 Pie - RAM 2 Go - Mémoire 32 Go - Caméra frontale 5 MP - Caméra arrière 13 MP - Wifi - 4G - GPS - Bluetooth - Batterie 3020 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","375,000 TND",En stock
36,[REDMI-7A-BK],"Double SIM - Écran 5.45"" HD+ - Processeur Processeur Qualcomm Snapdragon 439 OOcta-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53) - RAM 2 Go - Mémoire 32 Go, Micro SD Jusqu'à 256 Go - Android 9.0 Pie - 2x Appareils Photo: Caméra IA 12 MP (Arrière), 5 MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","376,000 TND",En stock
37,[REDMI-7A-BL],"Double SIM - Écran 5.45"" HD+ - Processeur Processeur Qualcomm Snapdragon 439 OOcta-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53) - RAM 2 Go - Mémoire 32 Go, Micro SD Jusqu'à 256 Go - Android 9.0 Pie - 2x Appareils Photo: Caméra IA 12 MP (Arrière), 5 MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","376,000 TND",En stock
38,[REDMI-7A-RD],"Double SIM - Écran 5.45"" HD+ - Processeur Processeur Qualcomm Snapdragon 439 OOcta-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53) - RAM 2 Go - Mémoire 32 Go, Micro SD Jusqu'à 256 Go - Android 9.0 Pie - 2x Appareils Photo: Caméra IA 12 MP (Arrière), 5 MP (Frontale) - 4G - Wifi - Bluetooth - GPS - Batterie 4000 mAh - Garantie 1 an + SIM Orange Offerte (50 Go)","376,000 TND",En stock
39,[POP2SPRO-GO],"Double SIM - Ecran 5.5"" - Résolution: 960 x 480 - Processeur MediaTek MT6761 Quad-core 2.0 GHz - RAM 2 Go - Mémoire 32 Go - Android 8.1 Oreo - 2x Appareils Photos Arrière 13 MP, Caméra Avant 8 MP avec Flash - Lecteur d'empreinte digitale - Reconnaissance faciale - Batterie 3050 mAh - Wifi - 4G - Bluetooth - GPRS - Garantie 1 an + SIM Orange Offerte 50 Go","379,000 TND",En stock
40,[M9PRO-BK],"Double SIM - Ecran 5.72"" IPS HD - Processeur Quad-Core SoC 1.3 GHz - RAM 2 Go - Stockage 16 Go - 3x Appareils Photos: 2x Arrière 13 MP + 2 MP /  Frontale 5 MP - Batterie LG 3000mAh - 4G - Wifi - Bluetooth - Android 8.1 Oreo - Garantie 1 an + SIM Orange Offerte (50 Go)","399,000 TND",En stock
41,[M9PRO-BL],"Double SIM - Ecran 5.72"" IPS HD - Processeur Quad-Core SoC 1.3 GHz - RAM 2 Go - Stockage 16 Go - 3x Appareils Photos: 2x Arrière 13 MP + 2 MP /  Frontale 5 MP - Batterie LG 3000mAh - 4G - Wifi - Bluetooth - Android 8.1 Oreo - Garantie 1 an + SIM Orange Offerte (50 Go)","399,000 TND",En stock
